"Service";"Work_accident";"Niveau de satisfaction";"Contrat";"Durée hebdo";"%variable_moyen";"Augmentation";"Promotion";"Sexe";"Age";"Is_enfant";"id_salarie";"tranche_salarial";"tranche_age"
"Marketing";"Non";67;"CDI";35;13;1;0;"F";58;1;1;"6000€-7000€";"50 ans-60 ans"
"Commercial";"Oui";66;"CDI";24;32;0;0;"F";59;1;2;"4000€-5000€";"50 ans-60 ans"
"RH";"Non";59;"CDI";32;19;1;0;"F";43;1;3;"8000€-9000€";"40 ans-40 ans"
"Compta Finances";"Non";60;"CDI";35;14;1;0;"F";35;1;4;"8000€-9000€";"30 ans-40 ans"
"Consultant";"Non";34;"CDI";35;17;1;0;"F";37;0;5;"7000€-8000€";"30 ans-40 ans"
"RH";"Non";84;"CDI";35;21;1;0;"F";50;1;6;"7000€-8000€";"50 ans-60 ans"
"Commercial";"Non";62;"CDI";35;30;1;1;"H";45;1;7;"1000€-2000€";"40 ans-40 ans"
"Consultant";"Non";69;"CDI";35;38;0;0;"F";43;0;8;"9000€-10000€";"40 ans-40 ans"
"Commercial";"Oui";54;"CDI";35;36;1;0;"F";46;1;9;"8000€-9000€";"40 ans-40 ans"
"Commercial";"Non";31;"CDI";35;11;1;0;"F";42;0;10;"5000€-6000€";"40 ans-40 ans"
"Consultant";"Non";9;"CDI";35;24;1;0;"F";51;1;11;"9000€-10000€";"50 ans-60 ans"
"RH";"Non";35;"CDI";24;8;1;0;"F";60;1;12;"4000€-5000€";"60 ans ou plus"
"Commercial";"Non";38;"CDI";35;16;1;1;"F";48;1;13;"6000€-7000€";"40 ans-40 ans"
"RH";"Non";30;"CDI";35;39;0;0;"F";64;1;14;"5000€-6000€";"60 ans ou plus"
"Compta Finances";"Non";70;"CDI";35;32;1;0;"H";60;0;15;"2000€-3000€";"60 ans ou plus"
"Marketing";"Non";54;"CDI";35;37;1;1;"H";42;0;16;"7000€-8000€";"40 ans-40 ans"
"Consultant";"Non";9;"CDI";28;8;1;0;"H";54;1;17;"2000€-3000€";"50 ans-60 ans"
"Compta Finances";"Non";96;"CDI";35;21;1;0;"H";43;1;18;"7000€-8000€";"40 ans-40 ans"
"Compta Finances";"Non";18;"CDD";35;17;1;0;"F";31;1;19;"1000€-2000€";"30 ans-40 ans"
"Consultant";"Non";7;"CDI";35;17;1;0;"F";52;1;20;"9000€-10000€";"50 ans-60 ans"
"Consultant";"Non";25;"CDI";35;30;0;0;"F";55;1;21;"3000€-4000€";"50 ans-60 ans"
"RH";"Non";73;"CDI";24;6;0;0;"F";50;1;22;"3000€-4000€";"50 ans-60 ans"
"Marketing";"Non";17;"CDI";28;31;1;0;"H";29;1;23;"7000€-8000€";"20 ans-30 ans"
"Consultant";"Non";81;"CDD";35;2;0;0;"F";32;1;24;"2000€-3000€";"30 ans-40 ans"
"RH";"Oui";42;"CDI";35;21;1;0;"F";35;1;25;"7000€-8000€";"30 ans-40 ans"
"RH";"Non";62;"CDI";35;19;0;1;"F";36;1;26;"8000€-9000€";"30 ans-40 ans"
"Compta Finances";"Non";100;"CDI";24;15;1;0;"H";35;1;27;"5000€-6000€";"30 ans-40 ans"
"Compta Finances";"Non";44;"CDI";35;27;1;0;"H";36;0;28;"3000€-4000€";"30 ans-40 ans"
"Compta Finances";"Non";53;"CDI";35;27;0;0;"F";33;0;29;"7000€-8000€";"30 ans-40 ans"
"Commercial";"Non";19;"CDI";35;17;0;0;"H";53;0;30;"5000€-6000€";"50 ans-60 ans"
"Commercial";"Non";81;"CDI";35;17;1;0;"F";46;1;31;"9000€-10000€";"40 ans-40 ans"
"Marketing";"Non";89;"CDI";35;34;1;0;"H";59;1;32;"8000€-9000€";"50 ans-60 ans"
"Commercial";"Non";41;"CDI";35;17;1;0;"H";32;1;33;"5000€-6000€";"30 ans-40 ans"
"Consultant";"Non";51;"CDI";35;6;1;1;"F";53;1;34;"5000€-6000€";"50 ans-60 ans"
"Commercial";"Oui";41;"CDI";35;5;1;0;"F";31;1;35;"6000€-7000€";"30 ans-40 ans"
"Commercial";"Non";3;"CDI";35;5;1;0;"F";45;1;36;"6000€-7000€";"40 ans-40 ans"
"Consultant";"Non";24;"CDI";35;15;1;0;"H";64;1;37;"2000€-3000€";"60 ans ou plus"
"Compta Finances";"Non";94;"CDI";35;0;1;1;"F";49;1;38;"6000€-7000€";"40 ans-40 ans"
"RH";"Non";15;"CDI";35;19;1;0;"F";54;1;39;"3000€-4000€";"50 ans-60 ans"
"Informatique";"Oui";30;"CDI";35;1;0;0;"H";39;0;40;"6000€-7000€";"30 ans-40 ans"
"Compta Finances";"Non";55;"CDI";35;19;1;1;"F";42;0;41;"7000€-8000€";"40 ans-40 ans"
"Consultant";"Non";60;"CDI";35;20;1;0;"H";53;0;42;"2000€-3000€";"50 ans-60 ans"
"RH";"Non";98;"CDI";24;18;1;1;"F";47;1;43;"2000€-3000€";"40 ans-40 ans"
"Consultant";"Non";68;"CDI";35;13;0;0;"H";35;0;44;"2000€-3000€";"30 ans-40 ans"
"Commercial";"Oui";74;"CDI";35;39;1;0;"H";45;1;45;"6000€-7000€";"40 ans-40 ans"
"Consultant";"Non";89;"CDI";35;39;1;0;"H";47;0;46;"2000€-3000€";"40 ans-40 ans"
"Consultant";"Non";36;"CDI";35;3;1;0;"H";43;1;47;"6000€-7000€";"40 ans-40 ans"
"Consultant";"Non";60;"CDI";35;40;1;0;"H";41;0;48;"4000€-5000€";"40 ans-40 ans"
"Consultant";"Non";68;"CDI";35;11;1;0;"H";48;0;49;"6000€-7000€";"40 ans-40 ans"
"Consultant";"Non";42;"CDI";35;4;1;0;"H";45;0;50;"2000€-3000€";"40 ans-40 ans"
"Consultant";"Non";99;"CDI";35;31;0;1;"H";51;0;51;"6000€-7000€";"50 ans-60 ans"
"Compta Finances";"Non";93;"CDI";35;12;0;0;"F";36;0;52;"4000€-5000€";"30 ans-40 ans"
"Compta Finances";"Non";47;"CDI";24;9;1;1;"F";51;1;53;"3000€-4000€";"50 ans-60 ans"
"RH";"Oui";32;"CDI";35;19;1;0;"H";41;1;54;"9000€-10000€";"40 ans-40 ans"
"RH";"Non";3;"CDI";35;17;0;0;"H";54;0;55;"9000€-10000€";"50 ans-60 ans"
"Commercial";"Non";63;"CDI";35;23;0;0;"F";52;1;56;"2000€-3000€";"50 ans-60 ans"
"Marketing";"Non";69;"CDI";35;4;0;0;"F";42;1;57;"9000€-10000€";"40 ans-40 ans"
"Consultant";"Non";13;"CDI";35;32;0;0;"H";57;1;58;"3000€-4000€";"50 ans-60 ans"
"Compta Finances";"Non";25;"CDI";35;26;1;0;"F";43;0;59;"8000€-9000€";"40 ans-40 ans"
"Informatique";"Non";32;"CDI";35;11;0;0;"H";50;0;60;"5000€-6000€";"50 ans-60 ans"
"Marketing";"Non";40;"CDI";35;18;0;1;"F";33;1;61;"1000€-2000€";"30 ans-40 ans"
"RH";"Non";20;"CDI";35;33;0;0;"F";53;0;62;"5000€-6000€";"50 ans-60 ans"
"Compta Finances";"Non";66;"CDI";35;7;1;0;"H";60;1;63;"7000€-8000€";"60 ans ou plus"
"Informatique";"Non";77;"CDI";35;5;1;0;"H";47;1;64;"9000€-10000€";"40 ans-40 ans"
"Marketing";"Non";59;"CDI";35;27;0;0;"H";36;1;65;"7000€-8000€";"30 ans-40 ans"
"Consultant";"Non";92;"CDI";35;19;0;0;"F";36;1;66;"2000€-3000€";"30 ans-40 ans"
"Consultant";"Non";87;"CDI";35;39;1;0;"F";47;1;67;"1000€-2000€";"40 ans-40 ans"
"Consultant";"Non";72;"CDI";35;24;1;0;"F";44;1;68;"6000€-7000€";"40 ans-40 ans"
"Consultant";"Oui";59;"CDD";35;22;0;0;"H";37;1;69;"2000€-3000€";"30 ans-40 ans"
"Marketing";"Non";69;"CDI";35;33;0;0;"H";64;1;70;"3000€-4000€";"60 ans ou plus"
"Commercial";"Non";52;"CDI";35;38;1;1;"H";53;0;71;"9000€-10000€";"50 ans-60 ans"
"Compta Finances";"Non";4;"CDI";35;39;1;0;"F";50;0;72;"4000€-5000€";"50 ans-60 ans"
"RH";"Non";47;"CDI";35;9;0;0;"F";44;0;73;"7000€-8000€";"40 ans-40 ans"
"Informatique";"Non";41;"CDI";24;12;0;0;"H";56;1;74;"4000€-5000€";"50 ans-60 ans"
"Commercial";"Oui";31;"CDI";35;23;1;0;"H";53;1;75;"7000€-8000€";"50 ans-60 ans"
"RH";"Non";55;"CDI";35;39;1;0;"F";53;0;76;"5000€-6000€";"50 ans-60 ans"
"Commercial";"Non";58;"CDI";35;34;0;0;"F";58;1;77;"2000€-3000€";"50 ans-60 ans"
"Commercial";"Non";15;"CDI";35;20;1;0;"F";34;1;78;"9000€-10000€";"30 ans-40 ans"
"Commercial";"Non";15;"CDI";35;37;0;0;"H";37;1;79;"5000€-6000€";"30 ans-40 ans"
"Commercial";"Non";1;"CDI";24;17;1;0;"F";51;0;80;"4000€-5000€";"50 ans-60 ans"
"Compta Finances";"Non";6;"CDI";32;4;0;0;"F";42;1;81;"6000€-7000€";"40 ans-40 ans"
"Informatique";"Non";57;"CDI";24;17;0;0;"H";49;1;82;"6000€-7000€";"40 ans-40 ans"
"Commercial";"Non";86;"CDI";35;21;0;0;"H";50;1;83;"2000€-3000€";"50 ans-60 ans"
"Compta Finances";"Non";31;"CDI";35;6;1;0;"H";40;1;84;"1000€-2000€";"40 ans-40 ans"
"Commercial";"Non";61;"CDI";35;9;1;1;"F";57;1;85;"3000€-4000€";"50 ans-60 ans"
"Compta Finances";"Non";14;"CDI";35;34;1;0;"F";32;1;86;"4000€-5000€";"30 ans-40 ans"
"Compta Finances";"Non";44;"CDI";35;35;1;0;"F";27;1;87;"2000€-3000€";"20 ans-30 ans"
"Commercial";"Oui";84;"CDI";35;17;0;1;"F";32;1;88;"8000€-9000€";"30 ans-40 ans"
"Informatique";"Non";54;"CDI";35;5;1;0;"H";42;1;89;"7000€-8000€";"40 ans-40 ans"
"Marketing";"Non";73;"CDI";35;7;1;0;"F";39;1;90;"4000€-5000€";"30 ans-40 ans"
"RH";"Non";47;"CDI";24;27;0;0;"H";56;0;91;"2000€-3000€";"50 ans-60 ans"
"RH";"Non";29;"CDI";35;24;0;0;"F";51;1;92;"3000€-4000€";"50 ans-60 ans"
"RH";"Non";95;"CDI";35;24;0;0;"H";56;1;93;"5000€-6000€";"50 ans-60 ans"
"Marketing";"Non";37;"CDI";35;14;0;0;"H";56;1;94;"4000€-5000€";"50 ans-60 ans"
"Consultant";"Non";94;"CDI";35;36;1;0;"H";38;1;95;"5000€-6000€";"30 ans-40 ans"
"Commercial";"Oui";44;"CDI";35;18;1;0;"H";51;1;96;"8000€-9000€";"50 ans-60 ans"
"Consultant";"Non";8;"CDI";35;7;0;0;"H";51;1;97;"5000€-6000€";"50 ans-60 ans"
"Compta Finances";"Non";84;"CDI";35;1;1;0;"F";56;1;98;"9000€-10000€";"50 ans-60 ans"
"RH";"Non";99;"CDI";35;26;0;0;"F";54;1;99;"3000€-4000€";"50 ans-60 ans"
"RH";"Non";49;"CDI";35;1;0;1;"H";31;1;100;"3000€-4000€";"30 ans-40 ans"
"RH";"Non";86;"CDI";35;27;0;0;"H";35;1;101;"7000€-8000€";"30 ans-40 ans"
"Consultant";"Non";62;"CDI";28;10;1;0;"H";42;0;102;"5000€-6000€";"40 ans-40 ans"
"Consultant";"Non";59;"CDI";35;28;0;0;"F";42;1;103;"2000€-3000€";"40 ans-40 ans"
"Compta Finances";"Non";26;"CDI";35;37;0;0;"H";59;1;104;"8000€-9000€";"50 ans-60 ans"
"Consultant";"Oui";63;"CDI";35;19;0;0;"F";59;1;105;"6000€-7000€";"50 ans-60 ans"
"Marketing";"Non";25;"CDI";35;34;0;0;"F";53;1;106;"3000€-4000€";"50 ans-60 ans"
"Consultant";"Non";34;"CDI";35;22;0;0;"H";39;0;107;"4000€-5000€";"30 ans-40 ans"
"Consultant";"Non";50;"CDI";35;13;1;0;"H";36;1;108;"4000€-5000€";"30 ans-40 ans"
"RH";"Non";63;"CDI";35;36;1;0;"F";45;1;109;"7000€-8000€";"40 ans-40 ans"
"Consultant";"Non";2;"CDI";35;33;1;0;"H";50;1;110;"4000€-5000€";"50 ans-60 ans"
"Commercial";"Non";42;"CDI";35;30;1;0;"F";35;1;111;"3000€-4000€";"30 ans-40 ans"
"Consultant";"Non";100;"CDD";32;12;0;0;"H";50;1;112;"2000€-3000€";"50 ans-60 ans"
"RH";"Non";77;"CDI";35;10;0;0;"F";48;1;113;"5000€-6000€";"40 ans-40 ans"
"Marketing";"Non";25;"CDD";35;24;0;0;"H";39;1;114;"3000€-4000€";"30 ans-40 ans"
"Marketing";"Non";75;"CDI";35;14;0;0;"F";48;1;115;"8000€-9000€";"40 ans-40 ans"
"Consultant";"Non";82;"CDI";35;12;0;1;"F";61;0;116;"4000€-5000€";"60 ans ou plus"
"Commercial";"Oui";48;"CDI";35;7;0;0;"H";47;1;117;"9000€-10000€";"40 ans-40 ans"
"Consultant";"Non";37;"CDI";24;12;0;0;"H";60;1;118;"2000€-3000€";"60 ans ou plus"
"Compta Finances";"Oui";40;"CDI";35;7;1;1;"F";48;0;119;"2000€-3000€";"40 ans-40 ans"
"Marketing";"Non";92;"CDI";35;15;0;0;"H";39;1;120;"4000€-5000€";"30 ans-40 ans"
"Compta Finances";"Non";78;"CDI";35;34;0;0;"H";46;0;121;"9000€-10000€";"40 ans-40 ans"
"Marketing";"Oui";51;"CDI";35;38;1;0;"F";48;1;122;"4000€-5000€";"40 ans-40 ans"
"Commercial";"Oui";7;"CDI";35;32;0;0;"H";38;0;123;"6000€-7000€";"30 ans-40 ans"
"RH";"Non";69;"CDI";35;38;0;0;"F";33;1;124;"8000€-9000€";"30 ans-40 ans"
"Commercial";"Non";77;"CDI";35;6;1;0;"F";41;0;125;"7000€-8000€";"40 ans-40 ans"
"Marketing";"Non";37;"CDI";35;33;0;0;"H";43;1;126;"5000€-6000€";"40 ans-40 ans"
"RH";"Non";11;"CDI";24;14;0;0;"F";36;0;127;"4000€-5000€";"30 ans-40 ans"
